Tranche_Âge,2010,2015,2021
0 à 14 ans,17254,16719,15244
15 à 29 ans,15882,15042,14240
30 à 44 ans,20483,18313,16557
45 à 59 ans,27314,26079,24128
60 à 74 ans,22997,25477,28139
75 ans ou plus,19100,18735,17394
